Date,Category,Net worth,% networth per category,Year,Quarter,Total wealth,% networth per individual,relative to bottom50
1989:Q3,TopPt1,1762391,0.086291127,1989,Q3,20423.78,0.086291127,1132.864818
1989:Q3,RemainingTop1,2838759,0.138992831,1989,Q3,20423.78,0.015443648,202.7504552
1989:Q3,Next9,7635884,0.373872221,1989,Q3,20423.78,0.004154136,54.53717476
1989:Q3,Next40,7408899,0.362758461,1989,Q3,20423.78,0.000906896,11.90609946
1989:Q3,Bottom50,777847,0.038085359,1989,Q3,20423.78,7.62E-05,1
1989:Q4,TopPt1,1812715,0.087130423,1989,Q4,20804.616,0.087130423,1172.296471
1989:Q4,RemainingTop1,2905496,0.139656315,1989,Q4,20804.616,0.015517368,208.7784657
1989:Q4,Next9,7770202,0.373484519,1989,Q4,20804.616,0.004149828,55.83386974
1989:Q4,Next40,7543056,0.362566461,1989,Q4,20804.616,0.000906416,12.19537811
1989:Q4,Bottom50,773147,0.037162282,1989,Q4,20804.616,7.43E-05,1
1990:Q1,TopPt1,1805996,0.086383752,1990,Q1,20906.663,0.086383752,1125.57198
1990:Q1,RemainingTop1,2897829,0.138607917,1990,Q1,20906.663,0.01540088,200.6719792
1990:Q1,Next9,7768099,0.371560923,1990,Q1,20906.663,0.004128455,53.79336741
1990:Q1,Next40,7632482,0.365074139,1990,Q1,20906.663,0.000912685,11.89220225
1990:Q1,Bottom50,802257,0.038373269,1990,Q1,20906.663,7.67E-05,1
1990:Q2,TopPt1,1850643,0.087437826,1990,Q2,21165.245,0.087437826,1163.069109
1990:Q2,RemainingTop1,2940394,0.138925583,1990,Q2,21165.245,0.015436176,205.3269191
1990:Q2,Next9,7852815,0.371024054,1990,Q2,21165.245,0.004122489,54.8359951
1990:Q2,Next40,7725807,0.365023273,1990,Q2,21165.245,0.000912558,12.13854788
1990:Q2,Bottom50,795586,0.037589265,1990,Q2,21165.245,7.52E-05,1
1990:Q3,TopPt1,1802020,0.085735813,1990,Q3,21018.288,0.085735813,1104.042269
1990:Q3,RemainingTop1,2864036,0.136264,1990,Q3,21018.288,0.015140444,194.9674257
1990:Q3,Next9,7767485,0.369558406,1990,Q3,21018.288,0.004106205,52.87665919
1990:Q3,Next40,7768646,0.369613643,1990,Q3,21018.288,0.000924034,11.89902659
1990:Q3,Bottom50,816101,0.038828139,1990,Q3,21018.288,7.77E-05,1
1990:Q4,TopPt1,1885733,0.087777378,1990,Q4,21483.132,0.087777378,1137.868758
1990:Q4,RemainingTop1,2962840,0.137914714,1990,Q4,21483.132,0.015323857,198.645011
1990:Q4,Next9,7914597,0.36840983,1990,Q4,21483.132,0.004093443,53.06379042
1990:Q4,Next40,7891337,0.36732712,1990,Q4,21483.132,0.000918318,11.90426459
1990:Q4,Bottom50,828625,0.038570959,1990,Q4,21483.132,7.71E-05,1
1991:Q1,TopPt1,1961742,0.089141108,1991,Q1,22007.153,0.089141108,1156.372498
1991:Q1,RemainingTop1,3087113,0.140277709,1991,Q1,22007.153,0.015586412,202.1928906
1991:Q1,Next9,8073708,0.366867445,1991,Q1,22007.153,0.004076305,52.87938466
1991:Q1,Next40,8036359,0.365170315,1991,Q1,22007.153,0.000912926,11.842822
1991:Q1,Bottom50,848231,0.038543423,1991,Q1,22007.153,7.71E-05,1
1991:Q2,TopPt1,1960532,0.088884528,1991,Q2,22057.067,0.088884528,1147.347304
1991:Q2,RemainingTop1,3078825,0.139584515,1991,Q2,22057.067,0.015509391,200.1997169
1991:Q2,Next9,8063140,0.365558122,1991,Q2,22057.067,0.004061757,52.43033772
1991:Q2,Next40,8100194,0.367238038,1991,Q2,22057.067,0.000918095,11.85103807
1991:Q2,Bottom50,854376,0.038734796,1991,Q2,22057.067,7.75E-05,1
1991:Q3,TopPt1,1981999,0.088643441,1991,Q3,22359.229,0.088643441,1099.973916
1991:Q3,RemainingTop1,3133210,0.140130503,1991,Q3,22359.229,0.015570056,193.208376
1991:Q3,Next9,8117919,0.36306793,1991,Q3,22359.229,0.004034088,50.0588836
1991:Q3,Next40,8225171,0.367864697,1991,Q3,22359.229,0.000919662,11.41205615
1991:Q3,Bottom50,900930,0.040293429,1991,Q3,22359.229,8.06E-05,1
1991:Q4,TopPt1,2079265,0.09055193,1991,Q4,22962.128,0.09055193,1133.128027
1991:Q4,RemainingTop1,3286812,0.143140566,1991,Q4,22962.128,0.015904507,199.0221863
1991:Q4,Next9,8295429,0.361265689,1991,Q4,22962.128,0.004014063,50.23026616
1991:Q4,Next40,8383133,0.365085196,1991,Q4,22962.128,0.000912713,11.42129906
1991:Q4,Bottom50,917489,0.039956619,1991,Q4,22962.128,7.99E-05,1
1992:Q1,TopPt1,2076700,0.090195133,1992,Q1,23024.524,0.090195133,1100.954687
1992:Q1,RemainingTop1,3266408,0.141866472,1992,Q1,23024.524,0.015762941,192.4082117
1992:Q1,Next9,8264544,0.358945271,1992,Q1,23024.524,0.003988281,48.68240989
1992:Q1,Next40,8473736,0.368030887,1992,Q1,23024.524,0.000920077,11.2307981
1992:Q1,Bottom50,943136,0.040962237,1992,Q1,23024.524,8.19E-05,1
1992:Q2,TopPt1,2066474,0.089376327,1992,Q2,23121.044,0.089376327,1070.177383
1992:Q2,RemainingTop1,3246316,0.140405252,1992,Q2,23121.044,0.015600584,186.7988102
1992:Q2,Next9,8278150,0.358035303,1992,Q2,23121.044,0.00397817,47.63395094
1992:Q2,Next40,8564622,0.370425401,1992,Q2,23121.044,0.000926064,11.08853143
1992:Q2,Bottom50,965482,0.041757716,1992,Q2,23121.044,8.35E-05,1
1992:Q3,TopPt1,2092326,0.089149332,1992,Q3,23469.901,0.089149332,1040.722105
1992:Q3,RemainingTop1,3276884,0.1396207,1992,Q3,23469.901,0.015513411,181.1023082
1992:Q3,Next9,8380360,0.3570684,1992,Q3,23469.901,0.003967427,46.31541855
1992:Q3,Next40,8715103,0.371331051,1992,Q3,23469.901,0.000928328,10.83722175
1992:Q3,Bottom50,1005228,0.042830517,1992,Q3,23469.901,8.57E-05,1
1992:Q4,TopPt1,2196886,0.091219874,1992,Q4,24083.414,0.091219874,1077.365423
1992:Q4,RemainingTop1,3436858,0.142706429,1992,Q4,24083.414,0.01585627,187.2727514
1992:Q4,Next9,8558019,0.35534908,1992,Q4,24083.414,0.003948323,46.63223692
1992:Q4,Next40,8872087,0.368389922,1992,Q4,24083.414,0.000920975,10.87730515
1992:Q4,Bottom50,1019564,0.042334696,1992,Q4,24083.414,8.47E-05,1
1993:Q1,TopPt1,2301128,0.094223469,1993,Q1,24422.026,0.094223469,1144.757788
1993:Q1,RemainingTop1,3526247,0.14438798,1993,Q1,24422.026,0.016043109,194.9140073
